k    none    reg    psf1      psf5      psf25
0  5.9993315439e+00   1.4845567239e+05   5.7287561840e+01   1.8532952833e+01    7.4531128661e+00
5  5.6117657423e+00   5.3269403387e+04   1.6129716270e+01   8.0939973156e+00    3.6159399355e+00
10  5.5252170964e+00   1.9650898017e+04   1.1798904263e+01   5.9096628660e+00    3.0959467182e+00
15  5.2815613576e+00   1.0477745978e+04   8.9508927327e+00   4.9970322031e+00    2.6653585324e+00
20  5.2477306370e+00   6.4349744693e+03   7.4693342283e+00   4.4050204748e+00    2.3357595995e+00
25  5.0256447091e+00   3.9537380089e+03   6.7139070306e+00   3.4765972707e+00    2.0958387627e+00
30  4.9291364481e+00   2.3797084358e+03   5.7522849269e+00   3.0081977911e+00    1.9537321153e+00
35  4.8573200376e+00   1.7570805950e+03   5.0756144795e+00   2.7343863668e+00    1.7809766700e+00
40  4.7804362844e+00   1.2590449635e+03   4.4974702590e+00   2.3854325025e+00    1.6966333648e+00
45  4.7260511078e+00   9.2059523434e+02   4.1048275877e+00   2.1922318177e+00    1.6376918723e+00
50  4.6952717780e+00   7.3744868072e+02   3.6022866308e+00   2.0063028795e+00    1.5861618603e+00
55  4.6436748974e+00   5.3075682094e+02   3.1721592408e+00   1.8476542359e+00    1.5342187739e+00
60  4.5169715361e+00   4.2534153942e+02   2.9317404193e+00   1.7482482970e+00    1.4844967989e+00
65  4.4375758804e+00   3.4405811971e+02   2.6538168414e+00   1.6857131495e+00    1.4529915379e+00
70  4.3746744055e+00   2.5071746178e+02   2.4579344486e+00   1.6204089372e+00    1.4151545498e+00
75  4.3299116094e+00   2.1056926597e+02   2.2311506396e+00   1.5521442245e+00    1.3737602016e+00
80  4.3054756145e+00   1.5936104026e+02   2.0389384742e+00   1.5082373407e+00    1.3390432566e+00
85  4.2599491759e+00   1.3909556106e+02   1.9277071588e+00   1.4494243344e+00    1.3170671016e+00
90  4.2023835672e+00   1.1790082290e+02   1.8193458004e+00   1.4185629242e+00    1.2966281522e+00
95  4.1901290743e+00   9.4468876059e+01   1.6958303615e+00   1.3676367715e+00    1.2805516484e+00
100  4.1710593512e+00   7.7227440768e+01   1.6134159629e+00   1.3414598550e+00    1.2659738626e+00
105  4.1453942648e+00   6.7828542828e+01   1.5169632655e+00   1.3098165344e+00    1.2497659181e+00
110  4.1143420641e+00   5.8937424770e+01   1.4658275623e+00   1.2838365700e+00    1.2339163229e+00
115  4.0758321245e+00   4.6963488005e+01   1.4184361491e+00   1.2522019406e+00    1.2212506553e+00
120  4.0528176354e+00   4.2005849956e+01   1.3682019623e+00   1.2288602729e+00    1.2057893467e+00
125  4.0218858554e+00   3.5100896783e+01   1.3327881752e+00   1.2060671730e+00    1.1944454894e+00
130  4.0085649386e+00   3.0745550288e+01   1.2934464444e+00   1.1929612637e+00    1.1851431107e+00
135  3.9833439128e+00   2.6415133067e+01   1.2512759002e+00   1.1772635630e+00    1.1755535991e+00
140  3.9711048705e+00   2.2208590878e+01   1.2255089350e+00   1.1646120590e+00    1.1619064004e+00
145  3.9402513272e+00   1.9804103730e+01   1.1950060480e+00   1.1537681024e+00    1.1532766869e+00
150  3.9112369864e+00   1.7588715142e+01   1.1659331671e+00   1.1391873071e+00    1.1429220999e+00
155  3.8925678525e+00   1.5391799553e+01   1.1470037626e+00   1.1325383966e+00    1.1369122712e+00
160  3.8761349902e+00   1.3552040339e+01   1.1314575464e+00   1.1237320861e+00    1.1303825239e+00
165  3.8400476524e+00   1.2017008216e+01   1.1198427573e+00   1.1155878706e+00    1.1234322875e+00
170  3.8111896729e+00   1.0629005545e+01   1.1109778703e+00   1.1112358499e+00    1.1156092271e+00
175  3.7651979539e+00   9.0986216726e+00   1.1062825243e+00   1.1067802991e+00    1.1115171625e+00
180  3.7220190789e+00   8.1517701567e+00   1.1040527726e+00   1.1028575741e+00    1.1051148694e+00
185  3.7021929127e+00   7.5330582997e+00   1.1015749702e+00   1.0999590468e+00    1.1011347184e+00
190  3.6904569506e+00   6.6724208207e+00   1.0992424065e+00   1.0981522985e+00    1.0973422994e+00
195  3.6767750290e+00   6.0841833508e+00   1.0968002798e+00   1.0950527845e+00    1.0929527582e+00
200  3.6597758585e+00   5.4458364860e+00   1.0943686749e+00   1.0929964163e+00    1.0897703304e+00
205  3.6416592360e+00   4.9879307181e+00   1.0928683906e+00   1.0913681725e+00    1.0872167592e+00
210  3.5991471614e+00   4.5850312062e+00   1.0905923388e+00   1.0893800865e+00    1.0837934007e+00
215  3.5910234903e+00   4.1377094498e+00   1.0887058297e+00   1.0879472223e+00    1.0798748675e+00
220  3.5672673548e+00   3.8103700040e+00   1.0872350704e+00   1.0856224496e+00    1.0768286379e+00
225  3.5580829944e+00   3.5686034284e+00   1.0855255350e+00   1.0840912305e+00    1.0741457163e+00
230  3.5369844543e+00   3.2940886138e+00   1.0842755667e+00   1.0819906576e+00    1.0720308744e+00
235  3.5181515741e+00   3.0132792965e+00   1.0827638119e+00   1.0803892429e+00    1.0688988771e+00
240  3.5047258063e+00   2.7845521744e+00   1.0812993597e+00   1.0790744629e+00    1.0672220956e+00
245  3.4886115638e+00   2.5966722878e+00   1.0799132072e+00   1.0773727065e+00    1.0649084398e+00
250  3.4723005337e+00   2.4034152792e+00   1.0786450392e+00   1.0760280948e+00    1.0634181581e+00
255  3.4605763917e+00   2.2518490182e+00   1.0772625631e+00   1.0740503097e+00    1.0616295443e+00
260  3.4444968367e+00   2.1598095952e+00   1.0762892928e+00   1.0732012339e+00    1.0597559148e+00
265  3.4242670538e+00   2.0608409345e+00   1.0749206918e+00   1.0720278708e+00    1.0577846953e+00
