k reg psf1 psf5 psf25 
0 7020.178669 3.589223 3.110485 2.573911
1 6664.622537 3.227256 2.831702 2.188679
2 6451.111559 3.192633 2.552033 2.161656
3 5698.917843 3.102840 2.406037 2.013678
4 4498.001913 2.940969 2.404911 2.003033
5 4067.869914 2.906120 2.347136 1.984675
6 3642.220242 2.878585 2.333954 1.939350
7 3607.178499 2.872472 2.318294 1.914658
8 3397.537515 2.753002 2.276810 1.914453
9 3114.924778 2.729467 2.265868 1.910769
10 3062.919701 2.673226 2.233783 1.909672
11 2935.225150 2.623926 2.160426 1.883898
12 2901.416613 2.620927 2.137821 1.860728
13 2601.561134 2.570916 2.109494 1.855861
14 2416.157141 2.559936 2.099452 1.837536
15 2387.854428 2.433398 2.079918 1.831242
16 2221.326446 2.422407 2.075807 1.829798
17 2137.742906 2.410943 2.034278 1.826186
18 1984.149546 2.405390 2.033332 1.810108
19 1878.741881 2.364984 2.008538 1.809439
20 1796.474847 2.348634 2.000407 1.791381
21 1733.238537 2.309614 1.994787 1.783790
22 1671.777113 2.304586 1.981445 1.773888
23 1615.422696 2.298896 1.979552 1.768898
24 1538.045668 2.279334 1.977393 1.767181
25 1497.496216 2.258217 1.972601 1.760740
26 1453.036703 2.230859 1.960163 1.752286
27 1386.625401 2.221052 1.956813 1.752084
28 1352.363909 2.195247 1.928771 1.749833
29 1332.258831 2.182038 1.922387 1.745396
30 1244.636679 2.152940 1.921396 1.741756
31 1199.592640 2.115811 1.917674 1.734435
32 1155.932030 2.113277 1.896243 1.733349
33 1098.276461 2.085825 1.893304 1.724826
34 1091.515595 2.054051 1.884206 1.722541
35 1052.944114 2.053159 1.881966 1.719933
36 1000.457990 2.050010 1.877547 1.707656
37 988.353162 2.043688 1.875079 1.703731
38 947.584414 2.040784 1.871328 1.697708
39 890.229655 2.033645 1.864608 1.691171
40 881.876351 2.031005 1.855492 1.685740
41 856.486072 2.019245 1.846838 1.684238
42 844.520126 2.013668 1.843723 1.675011
43 814.331493 2.005875 1.836938 1.673567
44 787.036319 1.995702 1.824968 1.669885
45 764.028949 1.984057 1.824943 1.669454
46 743.452674 1.982699 1.821708 1.668478
47 739.825100 1.981303 1.820332 1.664737
48 721.252289 1.975583 1.810078 1.662369
49 705.186963 1.973861 1.808065 1.660766
50 677.520522 1.967835 1.806692 1.659635
51 667.312060 1.947289 1.805359 1.654466
52 651.373723 1.943309 1.798768 1.653627
53 625.331937 1.938814 1.797627 1.652270
54 607.532916 1.936193 1.786464 1.650969
55 588.509029 1.932568 1.786147 1.648314
56 577.749181 1.930268 1.780908 1.641385
57 562.141420 1.920383 1.780506 1.638014
58 547.789349 1.907469 1.772138 1.634707
59 534.736577 1.904923 1.771657 1.631097
60 526.304918 1.901664 1.771252 1.629396
61 521.947709 1.901184 1.761919 1.624959
62 503.243578 1.897552 1.760641 1.620610
63 494.428624 1.889008 1.759462 1.618285
64 480.046313 1.885712 1.759276 1.614416
65 474.179356 1.880742 1.758887 1.612954
66 463.527322 1.871906 1.758070 1.611809
67 449.588103 1.865240 1.755534 1.608496
68 442.325149 1.862387 1.750221 1.605505
69 431.416886 1.854990 1.747815 1.604340
70 426.560218 1.853852 1.742149 1.592524
71 410.182778 1.847511 1.740020 1.592104
72 404.374938 1.844654 1.736032 1.588911
73 399.941329 1.838777 1.729751 1.586068
74 393.886555 1.834897 1.729003 1.584225
75 383.258786 1.827207 1.728654 1.583004
76 379.013440 1.826143 1.725773 1.579095
77 378.119230 1.824077 1.724078 1.579064
78 360.697742 1.812717 1.722687 1.571306
79 355.146971 1.809970 1.717893 1.570646
80 348.831526 1.801567 1.712365 1.567035
81 336.331465 1.791453 1.705029 1.566720
82 333.896151 1.788282 1.704498 1.563515
83 327.578906 1.783465 1.696715 1.560214
84 322.759181 1.782231 1.693442 1.557320
85 319.170677 1.781932 1.690261 1.552551
86 315.701424 1.778348 1.686314 1.551881
87 305.598929 1.773437 1.682135 1.547240
88 300.263724 1.769504 1.676971 1.544990
89 293.804208 1.768065 1.675458 1.541883
90 286.764579 1.766814 1.670541 1.541500
91 278.950285 1.762104 1.669241 1.538777
92 275.714343 1.758370 1.667137 1.536748
93 271.503401 1.754943 1.663906 1.533100
94 266.918305 1.749506 1.663808 1.532695
95 265.374404 1.748389 1.661717 1.531711
96 259.381344 1.747775 1.657612 1.530113
97 255.854861 1.745146 1.657435 1.528474
98 251.065393 1.742669 1.653875 1.526454
99 246.336254 1.738646 1.653167 1.520252
100 241.573442 1.736532 1.649181 1.515215
101 241.232803 1.733012 1.648397 1.514758
102 232.586344 1.727402 1.647707 1.513403
103 231.242758 1.727226 1.646478 1.511221
104 225.262447 1.723918 1.641907 1.508690
105 223.815077 1.722755 1.636316 1.506221
106 222.689849 1.717828 1.630742 1.502255
107 217.935967 1.714823 1.628147 1.500211
108 207.915615 1.709672 1.627160 1.498940
109 206.568601 1.706124 1.626748 1.497271
110 205.082282 1.703691 1.625931 1.497034
111 202.078336 1.700744 1.622947 1.495588
112 197.132151 1.699917 1.622351 1.494935
113 194.843091 1.696262 1.621303 1.489767
114 191.839497 1.696057 1.619133 1.488621
115 189.782760 1.691345 1.615572 1.486385
116 185.203279 1.682584 1.614341 1.483949
