k none reg psf1 psf5 psf25 
0 2050528.634552 36485.146036 1.577387 1.442627 1.334341
1 1746996.218063 15617.368007 1.486733 1.406376 1.285101
2 1698340.629882 14945.362850 1.449202 1.373157 1.232125
3 1646044.842825 6655.817444 1.442971 1.365199 1.212097
4 1642944.611840 5485.648286 1.396697 1.357192 1.194559
5 1598839.810201 4025.698501 1.388018 1.345620 1.191979
6 1592193.586057 2887.656035 1.372501 1.335545 1.190128
7 1576146.410509 2438.786608 1.355348 1.299749 1.186898
8 1561878.412209 2062.545123 1.335308 1.294690 1.185584
9 1540673.869749 2043.797281 1.323884 1.291711 1.185353
10 1517559.746021 1292.403353 1.306317 1.287421 1.184510
11 1490001.930699 1229.433147 1.302060 1.283460 1.173192
12 1483077.646407 1170.310518 1.291208 1.280914 1.172099
13 1474724.926321 1058.433273 1.282410 1.278787 1.170085
14 1471700.994177 756.981329 1.282019 1.276288 1.164059
15 1424850.551383 716.737747 1.272131 1.267020 1.162302
16 1391466.839075 642.794267 1.271485 1.265997 1.161546
17 1365222.078063 602.870620 1.260343 1.263818 1.157975
18 1319743.045100 566.302408 1.255371 1.262927 1.157336
19 1286315.950270 498.639540 1.253928 1.260940 1.156508
20 1272691.975522 462.722587 1.250676 1.253903 1.153884
21 1262946.786045 407.458263 1.249582 1.249930 1.152173
22 1262540.158799 373.179966 1.248396 1.248823 1.152129
23 1259024.097348 353.371481 1.244791 1.245052 1.150397
24 1254816.433324 332.141620 1.243573 1.240741 1.149776
25 1245469.681076 317.914054 1.243359 1.238510 1.146832
26 1237736.010125 291.832706 1.242006 1.237972 1.142414
27 1234398.682268 258.058953 1.241716 1.237526 1.141270
28 1225281.064620 230.894445 1.237760 1.237098 1.138634
29 1202068.456921 218.753632 1.235849 1.236822 1.136043
30 1190872.321492 208.174827 1.233711 1.227246 1.135598
31 1187040.953181 197.308382 1.231501 1.226723 1.132942
32 1181001.003089 193.502257 1.223694 1.225366 1.132259
33 1178548.250540 184.381416 1.221479 1.224754 1.131405
34 1173761.486020 161.202000 1.220365 1.223494 1.127756
35 1172440.358133 156.501162 1.219289 1.223224 1.127141
36 1168928.418978 151.905261 1.217698 1.222361 1.125782
37 1153910.674859 146.220843 1.214505 1.217471 1.125774
38 1149533.825485 133.301499 1.214021 1.216655 1.125194
39 1148946.194717 131.507930 1.211887 1.214815 1.124349
40 1145632.897457 122.713580 1.211076 1.212695 1.123073
41 1134980.009621 120.203493 1.208124 1.211361 1.122447
42 1122234.131810 113.575423 1.207731 1.210785 1.121258
43 1119092.871205 109.423512 1.206284 1.207302 1.119349
44 1115576.345192 106.318015 1.202007 1.206477 1.118645
45 1112860.475530 91.401840 1.201534 1.205378 1.118411
46 1102765.743910 90.071904 1.200306 1.203221 1.117581
47 1099723.930722 86.581032 1.199889 1.201850 1.115544
48 1094531.787726 82.920505 1.197132 1.199906 1.114342
49 1087815.031975 81.595210 1.193123 1.197097 1.111896
50 1084210.987594 80.547415 1.192748 1.195685 1.111163
51 1083732.558800 78.936520 1.191942 1.195068 1.110525
52 1073186.640042 71.995277 1.191313 1.194229 1.108584
53 1069675.043891 69.144577 1.189521 1.191166 1.107750
54 1048336.376553 65.540282 1.189332 1.190582 1.107607
55 1041091.722044 64.675477 1.185423 1.189367 1.106932
56 1040892.117916 63.738809 1.184562 1.188258 1.106182
57 1034951.046368 58.051117 1.183837 1.186199 1.106001
58 1030417.796189 57.432172 1.183126 1.185830 1.105464
59 1028986.459080 56.547736 1.179356 1.184988 1.104576
60 1026945.508726 55.300127 1.177624 1.183327 1.101877
61 1025763.619263 53.571979 1.177019 1.181954 1.101716
62 1020735.756969 52.675065 1.175358 1.181371 1.101455
63 1016307.678905 50.565255 1.175015 1.179122 1.100721
64 1014403.367552 49.165962 1.174414 1.179098 1.100178
65 1010999.521576 46.871085 1.172609 1.177261 1.099909
66 1008406.134669 44.106174 1.172247 1.176941 1.098456
67 1002935.157695 41.307143 1.171308 1.176672 1.097902
68 997256.918609 40.666970 1.170653 1.174471 1.097466
69 995325.840604 40.246344 1.169151 1.173971 1.097407
70 993246.936554 39.002023 1.168734 1.173661 1.096924
71 981907.407609 38.494774 1.165666 1.173016 1.096659
72 972524.708896 37.548043 1.165229 1.170919 1.095533
73 971267.258371 36.685047 1.163825 1.170403 1.095437
74 966736.879586 35.670812 1.163319 1.170385 1.095015
75 963650.187548 33.907696 1.162790 1.168822 1.094909
76 960001.232550 33.245035 1.160575 1.166622 1.093454
77 952792.541142 32.482788 1.159505 1.165642 1.093355
78 949862.397201 31.152590 1.159110 1.164750 1.093130
79 946752.278938 30.459944 1.158221 1.164060 1.092132
80 944712.158504 29.254930 1.157250 1.161921 1.091251
81 938019.889939 28.863632 1.156673 1.160685 1.091053
82 935120.035310 28.461229 1.155813 1.159949 1.090747
83 932641.185346 28.267704 1.154090 1.158822 1.089961
84 923904.052505 27.282034 1.153691 1.157846 1.089004
85 922510.737900 26.893408 1.153507 1.156813 1.088638
86 917602.750265 26.363807 1.151818 1.154800 1.088449
87 916810.742251 25.537641 1.150775 1.153988 1.087858
88 911156.088151 25.059576 1.148954 1.153648 1.086586
89 908304.812531 24.256222 1.148861 1.153433 1.086084
90 907220.683774 23.349323 1.147749 1.151864 1.085526
91 905381.843875 23.066594 1.146795 1.151161 1.084698
92 898323.480679 21.899158 1.145622 1.150245 1.084677
93 890292.900282 21.604230 1.144821 1.149040 1.084056
94 885073.052800 21.194411 1.143378 1.148938 1.082949
95 880161.550518 20.864396 1.143072 1.148650 1.082649
96 877242.254369 20.641996 1.142446 1.148592 1.082383
97 876000.176253 20.283396 1.141782 1.146703 1.081415
98 872070.124384 19.901250 1.141320 1.146090 1.081149
99 871865.801176 19.695957 1.140765 1.145721 1.080245
100 864273.256646 19.351236 1.140588 1.145284 1.079708
101 856826.455660 18.805389 1.139758 1.145158 1.078999
102 855872.873704 18.177849 1.138963 1.144818 1.078615
103 850859.350760 17.535579 1.138339 1.144506 1.077257
104 849425.986965 17.384956 1.136913 1.142309 1.077017
105 847362.875064 16.643588 1.136764 1.141869 1.076403
106 843955.354621 16.380702 1.136169 1.141283 1.076182
107 843011.394987 16.237714 1.134958 1.141021 1.075857
108 838802.675304 16.177589 1.134393 1.140044 1.075619
109 835226.714458 15.987781 1.133991 1.139368 1.075277
110 833799.193025 15.668974 1.133298 1.138624 1.074812
111 832907.924432 15.333516 1.132493 1.137950 1.074547
112 830803.447714 14.985426 1.131400 1.137905 1.074086
113 829553.003218 14.784967 1.130915 1.137098 1.073546
114 827204.724116 14.446485 1.130088 1.135319 1.073329
115 826151.982049 14.216503 1.129807 1.134851 1.073291
116 824681.230425 14.077152 1.128394 1.134426 1.072248
117 823567.950880 13.764821 1.128042 1.133408 1.071838
118 818960.701202 13.618947 1.126716 1.132990 1.071380
119 818339.101624 13.219894 1.125583 1.132574 1.071253
120 817771.751517 13.013541 1.125411 1.132085 1.071041
121 815580.082034 12.464527 1.125118 1.131729 1.070923
122 814424.623041 12.183782 1.124544 1.131457 1.070862
123 813017.758920 12.129238 1.123487 1.131031 1.070763
124 801667.192390 12.057009 1.123049 1.130675 1.070590
125 800264.082019 11.965905 1.123002 1.129944 1.070060
126 795476.835597 11.764827 1.122044 1.128754 1.069459
127 793362.941274 11.676261 1.121809 1.128372 1.068978
128 790506.941192 11.484537 1.121484 1.127311 1.068581
129 784474.517871 11.264089 1.120658 1.126972 1.068460
130 783613.181531 11.007417 1.120167 1.126198 1.068246
131 780693.324768 10.903377 1.118428 1.124937 1.067528
132 779512.219353 10.501656 1.118082 1.124614 1.067015
133 773044.081072 10.279002 1.117780 1.123874 1.066658
134 769314.934268 10.204949 1.117152 1.123728 1.066547
135 765076.129748 10.023375 1.117088 1.123400 1.066279
136 763897.723241 9.922883 1.116356 1.123191 1.065880
137 761615.364677 9.790490 1.115827 1.122845 1.065476
138 758399.583138 9.571865 1.115438 1.122676 1.064829
139 754884.112929 9.559319 1.115150 1.122154 1.064254
140 754466.993175 9.411475 1.113958 1.121865 1.063899
141 753327.950172 9.342902 1.113627 1.121279 1.063762
142 752727.856411 9.155427 1.113080 1.120544 1.062976
143 751454.314070 8.994603 1.110873 1.120030 1.062945
144 749626.186960 8.913687 1.110847 1.119348 1.062386
145 748585.773423 8.811746 1.110394 1.118758 1.062231
146 745748.022932 8.780263 1.110375 1.116949 1.062181
147 743715.909961 8.543733 1.109504 1.116289 1.061962
148 743491.578499 8.442642 1.109071 1.115834 1.061590
149 740952.008758 8.237732 1.108016 1.115525 1.060867
150 739846.254398 8.129560 1.107960 1.114943 1.060418
151 738566.269475 7.904649 1.107562 1.114204 1.060200
152 736459.744439 7.833253 1.106961 1.113687 1.059957
153 734230.932126 7.723532 1.105920 1.113184 1.059693
154 731507.831943 7.689097 1.105708 1.113023 1.058620
155 730267.325850 7.621785 1.105296 1.112733 1.058406
156 727389.537550 7.495548 1.105124 1.112182 1.058295
157 725670.183606 7.398415 1.104599 1.111375 1.057956
158 724290.927084 7.361220 1.103820 1.110841 1.057284
159 720839.651477 7.276362 1.103644 1.110317 1.056651
160 718430.937290 7.205049 1.102595 1.109899 1.056517
161 717490.396181 7.118527 1.102370 1.108446 1.056432
162 716231.499432 7.070634 1.102140 1.108393 1.056294
163 714579.710173 6.901994 1.102058 1.108068 1.056090
164 711813.099621 6.835530 1.101410 1.107532 1.055890
165 709929.513442 6.737752 1.100659 1.106684 1.055734
166 709692.100784 6.630808 1.099907 1.106179 1.055430
167 708651.030065 6.527845 1.099138 1.105537 1.055289
168 707000.940867 6.397597 1.098336 1.105445 1.055057
169 705544.786608 6.373089 1.097618 1.105094 1.054527
170 703851.285188 6.321988 1.097237 1.104456 1.054455
171 699349.398758 6.236168 1.097175 1.104098 1.054154
172 698381.871032 6.177013 1.096871 1.103561 1.053918
173 697525.467150 6.108818 1.096588 1.103213 1.053808
174 696485.986792 6.053362 1.096103 1.102805 1.053610
175 695633.631939 6.039113 1.095471 1.102135 1.053548
176 694229.770252 5.977519 1.094768 1.101863 1.053330
177 692821.321824 5.955943 1.094470 1.100786 1.053025
178 691101.768951 5.856291 1.094325 1.099999 1.052846
179 690368.462291 5.804090 1.094272 1.099273 1.052792
180 688756.727754 5.637989 1.093894 1.099198 1.052745
181 687768.725373 5.584106 1.093832 1.099029 1.052451
182 684460.848715 5.517697 1.093442 1.098167 1.052327
183 681557.235750 5.479890 1.093247 1.097849 1.051909
184 680385.011709 5.382449 1.093023 1.097329 1.051637
185 679571.325306 5.377251 1.092191 1.097039 1.050536
186 677601.032456 5.324873 1.092032 1.096607 1.050002
187 673534.074221 5.235469 1.091579 1.096129 1.049976
188 671989.415765 5.164010 1.090941 1.095704 1.049832
189 670356.723584 5.126328 1.090610 1.095457 1.049631
190 670089.891896 5.059598 1.089937 1.094929 1.049551
191 666940.808516 5.026560 1.089839 1.094302 1.048684
192 666530.310064 4.991782 1.089480 1.094194 1.048580
193 662928.025676 4.952437 1.089126 1.093944 1.048478
194 661577.961462 4.915159 1.088114 1.092828 1.048373
195 659321.039782 4.878898 1.087758 1.092639 1.048307
196 658506.565101 4.826978 1.087668 1.092373 1.048040
197 658068.364367 4.752225 1.087402 1.092270 1.047406
198 655432.064645 4.716030 1.086535 1.091672 1.047255
199 654492.798145 4.692987 1.086401 1.091624 1.046957
200 651856.117287 4.610477 1.086156 1.090763 1.046568
201 650334.035015 4.538729 1.085872 1.090099 1.046549
202 647999.372376 4.517412 1.085637 1.089895 1.045944
203 646783.991145 4.488546 1.084752 1.089679 1.045496
204 645383.481220 4.424602 1.084479 1.088422 1.045255
205 643602.243016 4.391390 1.084183 1.088217 1.045183
206 642289.870125 4.366370 1.083968 1.088118 1.045059
207 640627.181122 4.319274 1.083138 1.088001 1.044852
208 639217.717998 4.294245 1.082758 1.087618 1.044680
209 639005.367451 4.277426 1.082069 1.087008 1.043980
210 635052.386278 4.212678 1.081970 1.086683 1.043886
211 634505.878645 4.188723 1.081487 1.085558 1.043771
212 633418.045313 4.176273 1.081074 1.085442 1.043736
213 632209.567302 4.130128 1.080706 1.085344 1.043194
214 631140.328607 4.100736 1.080115 1.084939 1.043086
215 627039.543030 4.065226 1.078623 1.084821 1.043037
216 626353.559936 4.009885 1.078305 1.084155 1.042969
217 625630.192702 4.002901 1.078094 1.084096 1.042923
218 621004.616645 3.954203 1.077811 1.083328 1.042267
219 619390.633902 3.920353 1.076643 1.083083 1.042108
220 618093.211598 3.891665 1.076448 1.082897 1.042049
221 617331.666159 3.864976 1.076298 1.081671 1.041713
222 614784.727103 3.819858 1.076096 1.081352 1.041660
223 614098.427716 3.771251 1.075918 1.081074 1.041196
224 612468.733491 3.751510 1.075514 1.080252 1.040905
225 610676.219487 3.708562 1.075071 1.079954 1.040710
226 607115.150041 3.699360 1.074920 1.079546 1.040530
227 605726.370097 3.627043 1.074598 1.079309 1.040374
228 604049.071799 3.617895 1.074358 1.079129 1.040264
229 600856.946670 3.579675 1.074218 1.078730 1.040105
230 598819.315255 3.559846 1.073841 1.078199 1.040050
231 597456.177407 3.530926 1.073788 1.077878 1.039802
232 595553.424094 3.514570 1.073278 1.077663 1.039445
233 594622.837694 3.486913 1.072871 1.077489 1.039384
