k    none    reg    psf1      psf5      psf25
0  2.3053337246e+06   3.2783184816e+04   2.5575715335e+00   1.7345897834e+00    1.3354199395e+00
1  1.9643350886e+06   1.3980275324e+04   2.4574204568e+00   1.6619459299e+00    1.3343124447e+00
2  1.8506848774e+06   1.3396743789e+04   2.4542117141e+00   1.5704150824e+00    1.2293771322e+00
3  1.8472008602e+06   5.9787912165e+03   2.2687489791e+00   1.4653119041e+00    1.2246747196e+00
4  1.7976637662e+06   4.9097033775e+03   2.1912734435e+00   1.4642469241e+00    1.2114898860e+00
5  1.7900548178e+06   3.6109763399e+03   2.1591562005e+00   1.4573010760e+00    1.2109466973e+00
6  1.7720309243e+06   2.5901281074e+03   2.1461200188e+00   1.4391143978e+00    1.2093119201e+00
7  1.7560352296e+06   2.1883079273e+03   2.0624371107e+00   1.4230727015e+00    1.2023896687e+00
8  1.7321013087e+06   1.8427850625e+03   2.0456877698e+00   1.4146055232e+00    1.1998887896e+00
9  1.7294871799e+06   1.8378372468e+03   2.0136161861e+00   1.4074632180e+00    1.1905200665e+00
10  1.7062000947e+06   1.1576551936e+03   1.9783638240e+00   1.4069143088e+00    1.1877892651e+00
11  1.6748386862e+06   1.1037255754e+03   1.9753955251e+00   1.4038296937e+00    1.1838977693e+00
12  1.6667966601e+06   1.0512323065e+03   1.8598250420e+00   1.3965429099e+00    1.1827547475e+00
13  1.6544946731e+06   9.4571729226e+02   1.8248215290e+00   1.3909631676e+00    1.1796336180e+00
14  1.5644506309e+06   6.7702115592e+02   1.7513789674e+00   1.3776237263e+00    1.1777140011e+00
15  1.5491210688e+06   6.3905024237e+02   1.7194186959e+00   1.3728078372e+00    1.1737245437e+00
16  1.5339749222e+06   5.7598920812e+02   1.6973143409e+00   1.3713025637e+00    1.1733200927e+00
17  1.4387015964e+06   5.4327892879e+02   1.6946757443e+00   1.3504710310e+00    1.1688854953e+00
18  1.4307041915e+06   5.0599552834e+02   1.6792576617e+00   1.3410084854e+00    1.1682893659e+00
19  1.4223035446e+06   4.4555457155e+02   1.6789839739e+00   1.3392098031e+00    1.1649094657e+00
20  1.4187023544e+06   4.1517776898e+02   1.6603792070e+00   1.3349783902e+00    1.1561252367e+00
21  1.4148876255e+06   3.6397416064e+02   1.6505993416e+00   1.3331930836e+00    1.1551540947e+00
22  1.4103173305e+06   3.3591789476e+02   1.6454288469e+00   1.3178043361e+00    1.1550805723e+00
23  1.3997612023e+06   3.1648724300e+02   1.6257635052e+00   1.3135558301e+00    1.1534706810e+00
24  1.3912560258e+06   2.9731642723e+02   1.5818322537e+00   1.3042424798e+00    1.1514280332e+00
25  1.3874671760e+06   2.8460595444e+02   1.5614499167e+00   1.3040330924e+00    1.1496212755e+00
26  1.3771124266e+06   2.6134759225e+02   1.5548979270e+00   1.3021093363e+00    1.1478589347e+00
27  1.3482297559e+06   2.3086651455e+02   1.5522288657e+00   1.2977283796e+00    1.1471762448e+00
28  1.3347457691e+06   2.0592228840e+02   1.5412691485e+00   1.2956103639e+00    1.1457436001e+00
29  1.3336744374e+06   1.9665196658e+02   1.5241170502e+00   1.2931852077e+00    1.1449595802e+00
30  1.3311117685e+06   1.8573760992e+02   1.5121680735e+00   1.2894590914e+00    1.1448194523e+00
31  1.3239395248e+06   1.7696345342e+02   1.5093932146e+00   1.2812674263e+00    1.1412815159e+00
32  1.2931980266e+06   1.7380511281e+02   1.5008911733e+00   1.2786306576e+00    1.1407250730e+00
33  1.2880625900e+06   1.6564196651e+02   1.4861395570e+00   1.2784326313e+00    1.1401308178e+00
34  1.2752482424e+06   1.4427904975e+02   1.4679839528e+00   1.2778143968e+00    1.1400666330e+00
35  1.2604840823e+06   1.4002007158e+02   1.4436332491e+00   1.2761218289e+00    1.1397334705e+00
36  1.2582553494e+06   1.3564062532e+02   1.4425242232e+00   1.2739288678e+00    1.1354990809e+00
37  1.2529248019e+06   1.3167463719e+02   1.4259109823e+00   1.2660624121e+00    1.1342866573e+00
38  1.2410278512e+06   1.1900171472e+02   1.4243443987e+00   1.2631915089e+00    1.1326039498e+00
39  1.2297150490e+06   1.1789685511e+02   1.4216797881e+00   1.2586945704e+00    1.1309557835e+00
40  1.2198382478e+06   1.1053976147e+02   1.4091098429e+00   1.2561557921e+00    1.1300590771e+00
41  1.2171166887e+06   1.0743779185e+02   1.4009306318e+00   1.2539985232e+00    1.1295379558e+00
42  1.2165912286e+06   1.0178532826e+02   1.3907219667e+00   1.2477197716e+00    1.1284476190e+00
43  1.2163390266e+06   9.7878286326e+01   1.3861745676e+00   1.2453943941e+00    1.1280596787e+00
44  1.2075134138e+06   9.5772739145e+01   1.3827585134e+00   1.2442825740e+00    1.1266677085e+00
45  1.2026091511e+06   8.1435670612e+01   1.3749049280e+00   1.2400263965e+00    1.1252936118e+00
46  1.1954402585e+06   8.0509135224e+01   1.3721403861e+00   1.2385148366e+00    1.1237060182e+00
47  1.1946520987e+06   7.7903708498e+01   1.3664759325e+00   1.2323182983e+00    1.1233265568e+00
48  1.1897100903e+06   7.4430393325e+01   1.3617569863e+00   1.2311768084e+00    1.1227489925e+00
49  1.1775809700e+06   7.3293556072e+01   1.3586627654e+00   1.2293979560e+00    1.1225161956e+00
50  1.1699076441e+06   7.2068175541e+01   1.3551115184e+00   1.2260816363e+00    1.1224749737e+00
51  1.1665158285e+06   7.0750255502e+01   1.3517726528e+00   1.2245365042e+00    1.1217484403e+00
52  1.1616948372e+06   6.4906150606e+01   1.3508556695e+00   1.2232795779e+00    1.1177394003e+00
53  1.1572070138e+06   6.1836980231e+01   1.3462968871e+00   1.2222400548e+00    1.1169916765e+00
54  1.1551365148e+06   5.8861289493e+01   1.3402742285e+00   1.2212767013e+00    1.1169831146e+00
55  1.1540285087e+06   5.7927737947e+01   1.3307178537e+00   1.2201192074e+00    1.1168351124e+00
56  1.1537335273e+06   5.6894880816e+01   1.3260265194e+00   1.2177517533e+00    1.1163879295e+00
57  1.1520518958e+06   5.2315227022e+01   1.3257470181e+00   1.2141014808e+00    1.1140353106e+00
58  1.1410602016e+06   5.1638658698e+01   1.3214779387e+00   1.2136895338e+00    1.1137905057e+00
59  1.1356317951e+06   5.0756178501e+01   1.3150484045e+00   1.2117635066e+00    1.1112739908e+00
60  1.1325088621e+06   4.9644780591e+01   1.3144071935e+00   1.2113563097e+00    1.1105544761e+00
61  1.1276016949e+06   4.8022030401e+01   1.3093227500e+00   1.2091448426e+00    1.1100220256e+00
62  1.1214252333e+06   4.7107009258e+01   1.3086921446e+00   1.2081032011e+00    1.1093349296e+00
63  1.1176034844e+06   4.5158821078e+01   1.3039908751e+00   1.2079250003e+00    1.1090223633e+00
64  1.1146873655e+06   4.4308494893e+01   1.3024409091e+00   1.2072537418e+00    1.1076821495e+00
65  1.1102257458e+06   4.2055655267e+01   1.3003929291e+00   1.2065277716e+00    1.1064878503e+00
66  1.1044361618e+06   3.9696096360e+01   1.2985165967e+00   1.2057804164e+00    1.1049970966e+00
67  1.0919170569e+06   3.7227475380e+01   1.2908759044e+00   1.2028101079e+00    1.1026838812e+00
68  1.0887280450e+06   3.6694651961e+01   1.2906646259e+00   1.2016557745e+00    1.1023945899e+00
69  1.0822633419e+06   3.6061691830e+01   1.2897248654e+00   1.2011816855e+00    1.1019912113e+00
70  1.0797296282e+06   3.4913507883e+01   1.2893155804e+00   1.1995222408e+00    1.1015220411e+00
71  1.0703905275e+06   3.4568469060e+01   1.2845486694e+00   1.1973611568e+00    1.1011462230e+00
72  1.0660424117e+06   3.3610953601e+01   1.2843204624e+00   1.1955687993e+00    1.1009160672e+00
73  1.0634139020e+06   3.3011338889e+01   1.2799401125e+00   1.1931215641e+00    1.1003292322e+00
74  1.0616090133e+06   3.2045053754e+01   1.2726469189e+00   1.1904246139e+00    1.0989488644e+00
75  1.0546486159e+06   3.0386811499e+01   1.2703915494e+00   1.1897982276e+00    1.0979608080e+00
76  1.0486256827e+06   2.9924519869e+01   1.2701813902e+00   1.1886925635e+00    1.0978029076e+00
77  1.0475758640e+06   2.9223501059e+01   1.2680175020e+00   1.1882190276e+00    1.0976490999e+00
78  1.0413016026e+06   2.8045970288e+01   1.2662099545e+00   1.1877547522e+00    1.0975571061e+00
79  1.0404566029e+06   2.7406976388e+01   1.2650041667e+00   1.1847804953e+00    1.0963851757e+00
80  1.0374802930e+06   2.6265047142e+01   1.2639269648e+00   1.1836688058e+00    1.0958465258e+00
81  1.0321655649e+06   2.5924181566e+01   1.2589955674e+00   1.1826640170e+00    1.0956495572e+00
82  1.0258971810e+06   2.5607949472e+01   1.2576978562e+00   1.1815673819e+00    1.0953872264e+00
83  1.0228367393e+06   2.5344414187e+01   1.2555806055e+00   1.1813996758e+00    1.0950000117e+00
84  1.0211226261e+06   2.4620469860e+01   1.2543938545e+00   1.1806910823e+00    1.0949344726e+00
85  1.0179222343e+06   2.4245879456e+01   1.2527269044e+00   1.1803548639e+00    1.0937189869e+00
86  1.0143391520e+06   2.3777007414e+01   1.2490146622e+00   1.1779499571e+00    1.0934553714e+00
87  1.0058619937e+06   2.2978158296e+01   1.2476173816e+00   1.1771333609e+00    1.0934190119e+00
88  1.0007363817e+06   2.2624870889e+01   1.2460204609e+00   1.1768831235e+00    1.0930302170e+00
89  9.9179995528e+05   2.1735635103e+01   1.2415605419e+00   1.1761070893e+00    1.0914965045e+00
90  9.8517046746e+05   2.0995677142e+01   1.2412580483e+00   1.1753526926e+00    1.0902299469e+00
91  9.8362039726e+05   2.0796889229e+01   1.2402738651e+00   1.1751537004e+00    1.0893682720e+00
92  9.8023887439e+05   1.9648792360e+01   1.2394223180e+00   1.1746638637e+00    1.0891384530e+00
93  9.7700048941e+05   1.9432584749e+01   1.2359140856e+00   1.1721244475e+00    1.0886666389e+00
